appid,name,release_date,english,developer,publisher,platforms,required_age,categories,genres,steamspy_tags,achievements,positive_ratings,negative_ratings,average_playtime,median_playtime,owners,price,total_ratings,positive_ratings_percent
745880,東方天空璋 ～ Hidden Star in Four Seasons.,2017-11-17,0,上海アリス幻樂団,"Mediascape Co., Ltd.",windows,0,Single-player;Partial Controller Support;Steam Cloud,"['Action', 'Indie']",Bullet Hell;Great Soundtrack;Difficult,0,4114,53,413,413,50000-100000,11.39,4167,98.72810175185985
620,Portal 2,2011-04-18,1,Valve,Valve,windows;mac;linux,0,Single-player;Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Captions available;Steam Workshop;Steam Cloud;Stats;Includes level editor;Commentary available,"['Action', 'Adventure']",Puzzle;Co-op;First-Person,51,138220,1891,1102,520,10000000-20000000,7.19,140111,98.65035578933845
427520,Factorio,2016-02-25,1,Wube Software LTD.,Wube Software LTD.,windows;mac;linux,0,Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Cross-Platform Multiplayer;Steam Achievements;Steam Cloud;Includes level editor,"['Casual', 'Indie', 'Simulation', 'Strategy', 'Early Access']",Early Access;Base-Building;Resource Management,38,47918,723,10087,6880,1000000-2000000,21.0,48641,98.51359963816535
411960,TY the Tasmanian Tiger,2016-12-12,1,Krome Studios,Krome Studios,windows,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards,"['Action', 'Adventure', 'Indie']",Adventure;3D Platformer;Action,39,1676,26,117,117,50000-100000,10.99,1702,98.47238542890717
432350,Epic Battle Fantasy 5,2018-11-30,1,Matt Roszak,Matt Roszak,windows,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,"['Adventure', 'RPG', 'Strategy']",RPG;Adventure;Strategy,102,1073,19,0,0,50000-100000,11.49,1092,98.26007326007326
264200,One Finger Death Punch,2014-03-03,1,Silver Dollar Games,Silver Dollar Games,windows,0,Single-player;Steam Achievements;Partial Controller Support;Steam Leaderboards,"['Action', 'Casual', 'Indie']",Action;Fast-Paced;Indie,152,14181,256,149,107,500000-1000000,3.99,14437,98.22677841656854
337340,Finding Paradise,2017-12-14,1,Freebird Games,Freebird Games,windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,"['Adventure', 'Indie', 'RPG']",Story Rich;Great Soundtrack;Pixel Graphics,1,6578,123,166,166,200000-500000,6.99,6701,98.16445306670646
899970,NEKOPARA Extra,2018-07-26,1,NEKO WORKs,Sekai Project,windows,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,"['Casual', 'Indie']",Anime;Visual Novel;Sexual Content,13,1527,29,206,412,50000-100000,3.99,1556,98.13624678663238
424280,Iron Snout,2016-01-27,1,SnoutUp,SnoutUp,windows;mac;linux,0,Single-player;Steam Achievements;Partial Controller Support;Stats;Steam Leaderboards,"['Action', 'Free to Play', 'Indie']",Free to Play;Action;Fighting,37,13889,277,10647,76,1000000-2000000,0.0,14166,98.04461386418184
736260,Baba Is You,2019-03-13,1,Hempuli Oy,Hempuli Oy,windows;mac;linux,0,Single-player;Steam Achievements;Full controller support;Steam Cloud,['Indie'],Indie;Puzzle;Difficult,18,1300,26,32,32,50000-100000,11.39,1326,98.0392156862745
341800,Keep Talking and Nobody Explodes,2015-10-08,1,Steel Crate Games,Steel Crate Games,windows;mac;linux,0,Local Multi-Player;Co-op;Local Co-op;Steam Achievements;Full controller support;VR Support;Steam Workshop;Stats;Steam Leaderboards,['Indie'],Co-op;Puzzle;Local Co-Op,10,5745,115,196,251,500000-1000000,10.99,5860,98.03754266211604
420530,OneShot,2016-12-08,1,Little Cat Feet,Degica,windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud,"['Adventure', 'Casual', 'Indie']",Story Rich;Pixel Graphics;Great Soundtrack,11,10985,220,327,469,200000-500000,6.99,11205,98.03659080767515
253230,A Hat in Time,2017-10-05,1,Gears for Breakfast,Gears for Breakfast,windows;mac,0,Single-player;Local Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Captions available;Steam Workshop;Steam Cloud;Stats;Includes level editor,"['Adventure', 'Indie']",3D Platformer;Cute;Female Protagonist,37,14019,292,377,376,200000-500000,22.99,14311,97.95961148766683
400,Portal,2007-10-10,1,Valve,Valve,windows;mac;linux,0,Single-player;Steam Achievements;Captions available;Partial Controller Support;Includes level editor;Includes Source SDK;Commentary available,['Action'],Puzzle;First-Person;Singleplayer,15,51801,1080,288,137,10000000-20000000,7.19,52881,97.95767856129801
552280,游魂2-you're the only one- / Tayutama 2-you're the only one-,2016-12-09,0,Lump of Sugar;HIKARI FIELD,HIKARI FIELD,windows,0,Single-player;Steam Trading Cards,['Adventure'],Anime;Sexual Content;Dating Sim,0,1380,29,0,0,20000-50000,27.79,1409,97.94180269694819
324160,CLANNAD,2015-11-23,1,VisualArts/Key,Sekai Project,windows,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,"['Adventure', 'Casual']",Visual Novel;Anime;Story Rich,22,1900,40,188,188,50000-100000,29.99,1940,97.9381443298969
436820,Waltz of the Wizard,2016-05-31,1,Aldin Dynamics,Aldin Dynamics,windows,0,Single-player;Co-op;Local Co-op;VR Support,"['Adventure', 'Indie', 'Simulation']",Simulation;Adventure;VR,0,1133,24,42,51,200000-500000,0.0,1157,97.92566983578219
558990,Opus Magnum,2017-12-07,1,Zachtronics,Zachtronics,windows;mac;linux,0,Single-player;Steam Achievements;Steam Workshop;Steam Cloud;Steam Leaderboards;Includes level editor,"['Indie', 'Simulation']",Puzzle;Indie;Programming,5,1979,42,1096,1054,100000-200000,15.49,2021,97.92182088075211
615610,Orbt XL,2017-04-21,1,Nickervision Studios,Nickervision Studios,windows;mac;linux,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards,"['Action', 'Casual', 'Indie']",Casual;Indie;Action,31,2100,45,52,65,100000-200000,0.79,2145,97.9020979020979
294100,RimWorld,2018-10-17,1,Ludeon Studios,Ludeon Studios,windows;mac;linux,0,Single-player;Steam Workshop;Steam Cloud,"['Indie', 'Simulation', 'Strategy']",Base-Building;Survival;Strategy,0,38556,857,5017,2106,1000000-2000000,27.79,39413,97.825590541192
344770,fault - milestone two side:above,2015-09-08,1,ALICE IN DISSONANCE,Sekai Project,windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards,['Indie'],Visual Novel;Anime;Story Rich,9,1886,42,307,307,50000-100000,10.99,1928,97.82157676348547
351640,Eternal Senia,2015-06-18,1,Holy Priest,Holy Priest,windows,0,Single-player,"['Action', 'Free to Play', 'Indie', 'RPG']",Anime;Free to Play;RPG,0,10106,227,15961,155,500000-1000000,0.0,10333,97.80315494048195
412830,STEINS;GATE,2016-09-08,1,MAGES. Inc.,"Spike Chunsoft Co., Ltd.",windows,0,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud,['Adventure'],Visual Novel;Anime;Story Rich,42,5720,130,2628,5223,100000-200000,23.99,5850,97.77777777777777
407900,Princess Remedy in a World of Hurt,2016-01-01,1,Ludosity;Remar Games,Ludosity,windows,0,Single-player;Full controller support,"['Action', 'Adventure', 'Indie']",Indie;Pixel Graphics;Free to Play,0,2305,53,76,143,100000-200000,0.0,2358,97.75233248515691
851100,Touhou Luna Nights,2019-02-25,1,Vaka Game Magazine;Team Ladybug,Vaka Game Magazine;AGM PLAYISM,windows,0,Single-player;Partial Controller Support,"['Action', 'Adventure', 'Indie']",Metroidvania;2D;Action,0,3199,75,158,158,100000-200000,13.99,3274,97.70922419059255
251290,The Legend of Heroes: Trails in the Sky SC,2015-10-29,1,Nihon Falcom,"XSEED Games;Marvelous USA, Inc.",windows,0,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud,['RPG'],JRPG;Story Rich;RPG,23,1108,26,0,0,50000-100000,22.99,1134,97.70723104056437
292030,The Witcher® 3: Wild Hunt,2015-05-18,1,CD PROJEKT RED,CD PROJEKT RED,windows,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,['RPG'],Open World;RPG;Story Rich,78,202930,4798,3068,2002,5000000-10000000,24.99,207728,97.69024878687515
460950,Katana ZERO,2019-04-18,1,Askiisoft,Devolver Digital,windows;mac,0,Single-player;Steam Achievements;Partial Controller Support,"['Action', 'Indie']",Action;Pixel Graphics;Indie,19,1848,44,211,229,50000-100000,11.39,1892,97.67441860465115
447530,VA-11 Hall-A: Cyberpunk Bartender Action,2016-06-21,1,Sukeban Games,Ysbryd Games;AGM PLAYISM,windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,"['Adventure', 'Indie', 'Simulation']",Cyberpunk;Visual Novel;Great Soundtrack,34,12348,294,746,667,200000-500000,10.99,12642,97.67441860465115
425580,The Room Two,2016-07-05,1,Fireproof Games,Fireproof Games,windows,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,"['Adventure', 'Indie']",Puzzle;Mystery;Adventure,7,7382,176,181,279,200000-500000,3.99,7558,97.67134162476846
597220,West of Loathing,2017-08-10,1,Asymmetric,Asymmetric,windows;mac;linux,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,"['Adventure', 'Indie', 'RPG']",RPG;Comedy;Adventure,28,3039,74,441,568,200000-500000,8.29,3113,97.62287182781883
250320,The Wolf Among Us,2013-10-11,1,Telltale Games,Telltale Games,windows;mac,16,Single-player;Steam Achievements;Full controller support,['Adventure'],Adventure;Detective;Story Rich,35,21127,517,675,616,1000000-2000000,11.99,21644,97.61134725559046
511470,Glass Masquerade,2016-11-18,1,Onyx Lute,Onyx Lute,windows;mac,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,"['Casual', 'Indie']",Casual;Puzzle;Relaxing,31,2406,59,241,242,500000-1000000,3.99,2465,97.60649087221095
519860,DUSK,2018-12-10,1,David Szymanski,New Blood Interactive,windows;mac;linux,0,Single-player;Online Multi-Player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,"['Action', 'Indie']",FPS;Action;Horror,30,3599,89,284,284,100000-200000,15.0,3688,97.58676789587852
316720,planetarian ~the reverie of a little planet~,2014-09-12,1,VisualArts/Key,Sekai Project,windows,0,Single-player;Steam Achievements,['Casual'],Visual Novel;Anime;Post-apocalyptic,19,1475,37,69,138,50000-100000,6.99,1512,97.55291005291006
250900,The Binding of Isaac: Rebirth,2014-11-04,1,"Nicalis, Inc.","Nicalis, Inc.",windows;mac;linux,16,Single-player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,['Action'],Indie;Replay Value;Rogue-like,403,72830,1840,4583,3236,2000000-5000000,10.99,74670,97.53582429355832
