genres,mean,size
Indie,72.14671561403559,19410
RPG,71.62516750589218,4307
Adventure,71.3745303817346,10027
Casual,71.0653641806047,10204
Action,70.99332586962001,11896
Nudity,70.90802147910804,266
Early Access,70.24410576194146,2952
Free to Play,69.95817833105129,1701
Strategy,69.29735654720159,5246
Racing,66.71959772454986,1024
Sports,66.60402474767275,1322
Simulation,65.98758577640615,5192
Gore,63.55266347908019,537
Violent,63.08977869841112,842
Massively Multiplayer,61.18540981745723,721
